created_at,id_str,tweets_texto,tipo,Classificador,tweets_Preprocessados,tweets_normalizados,tweets_sem_stopwords,tweets_sem_stopwords_Normal,tweets_PreprocessadosPlus,tweets_sem_stopwordsPlus
17/05/3921 23:49,"1,39E+18","errata: racismo, e não xenofobia",0,Negativo,"errata racismo, e nao xenofobia",errata racismo e não xenofobia,"errata racismo, nao xenofobia",errata racismo xenofobia,errata racismo e nao xenofobia,errata racismo nao xenofobia
17/05/3921 23:49,"1,39E+18","E se pedir pra sair perdem o cachê, né? 
Tenebroso.
Isso é humilhante demais e eu penso que seja xenofobia também.",2,Nao Classificado,"telefono_fucsia e se pedir pra sair perdem o cache, ne? 
tenebroso
isso e humilhante demais e eu penso que seja xenofobia tambem",telefonofucsia e se pedir pra sair perdem o cachê não é tenebroso isso é humilhante demais e eu penso que seja xenofobia também,"telefono_fucsia pedir pra sair perdem cache, ne? tenebroso humilhante penso xenofobia tambem",telefonofucsia pedir pra sair perdem cachê tenebroso humilhante penso xenofobia,telefonofucsia e se pedir pra sair perdem o cache nao e tenebroso isso e humilhante demais e eu penso que seja xenofobia tambem,telefonofucsia pedir pra sair perdem cache nao tenebroso humilhante penso xenofobia tambem
17/05/3921 23:49,"1,39E+18","Ciro gomes Xenofobia sim! 
Vc usa de elementos regionais com conotação pejorativa para tentar ofender. Não passa de puro preconceito sem fundamento no mundo dos fatos. Logo vc, que sempre foi vítima desse tipo de opressão. Utiliza agora as mesma armas. Vergonha!",2,Nao Classificado,"jeanwyllys_real ticostacruz cirogomes xenofobia sim! vc usa de elementos regionais com conotacao pejorativa para tentar ofender nao passa de puro preconceito sem fundamento no mundo dos fatos logo vc, que sempre foi vitima desse tipo de opressao utiliza agora as mesma armas vergonha!",jeanwyllysreal ticostacruz cirogomes xenofobia sim você usa de elementos regionais com conotação pejorativa para tentar ofender não passa de puro preconceito sem fundamento no mundo dos fatos logo você que sempre foi vítima desse tipo de opressão utiliza agora as mesma armas vergonha,"jeanwyllys_real ticostacruz cirogomes xenofobia sim! vc elementos regionais conotacao pejorativa ofender nao passa puro preconceito fundamento mundo fatos vc, vitima opressao utiliza mesma armas vergonha!",jeanwyllysreal ticostacruz cirogomes xenofobia elementos regionais conotação pejorativa ofender passa puro preconceito fundamento mundo fatos vítima opressão utiliza mesma armas vergonha,jeanwyllysreal ticostacruz cirogomes xenofobia sim voce usa de elementos regionais com conotacao pejorativa para tentar ofender nao passa de puro preconceito sem fundamento no mundo dos fatos logo voce que sempre foi vitima desse tipo de opressao utiliza agora as mesma armas vergonha,jeanwyllysreal ticostacruz cirogomes xenofobia voce elementos regionais conotacao pejorativa ofender nao passa puro preconceito fundamento mundo fatos voce vitima opressao utiliza mesma armas vergonha
17/05/3921 23:47,"1,39E+18",Falar do chapéu não é xenofobia.  E só vi um aí w não é de fake.  O resto com certeza.  E me poupe.  Vc sabe q não é nem perto do q os Cactosminions fizeram e fazem,0,Negativo,vitoriajessiica pedroso_larissa falar do chapeu nao e xenofobia  e so vi um ai w nao e de fake  o resto com certeza  e me poupe  vc sabe q nao e nem perto do q os cactosminions fizeram e fazem,vitoriajessiica pedrosolarissa falar do chapéu não é xenofobia e só vi um aí a não é de fake o resto com certeza e me poupe você sabe que não é nem perto do que os cactosminions fizeram e fazem,vitoriajessiica pedroso_larissa falar chapeu nao xenofobia so vi ai w nao fake resto poupe vc q nao q cactosminions fizeram,vitoriajessiica pedrosolarissa falar chapéu xenofobia vi fake resto poupe cactosminions fizeram,vitoriajessiica pedrosolarissa falar do chapeu nao e xenofobia e so vi um ai a nao e de fake o resto com certeza e me poupe voce sabe que nao e nem perto do que os cactosminions fizeram e fazem,vitoriajessiica pedrosolarissa falar chapeu nao xenofobia so vi ai nao fake resto poupe voce nao cactosminions fizeram
17/05/3921 23:47,"1,39E+18",A realização de um sonho dos portugueses podendo justificar a xenofobia com brasileiros baseados na vacina,2,Nao Classificado,a realizacao de um sonho dos portugueses podendo justificar a xenofobia com brasileiros baseados na vacina,a realização de um sonho dos portugueses podendo justificar a xenofobia com brasileiros baseados na vacina,realizacao sonho portugueses podendo justificar xenofobia brasileiros baseados vacina,realização sonho portugueses podendo justificar xenofobia brasileiros baseados vacina,a realizacao de um sonho dos portugueses podendo justificar a xenofobia com brasileiros baseados na vacina,realizacao sonho portugueses podendo justificar xenofobia brasileiros baseados vacina
17/05/3921 23:44,"1,39E+18",a xenofobia gente.... vou mandar meu amigo carioca enfiar droga na tua boca,2,Nao Classificado,murphsyc a xenofobia gente vou mandar meu amigo carioca enfiar droga na tua boca,murphsyc a xenofobia gente vou mandar meu amigo carioca enfiar droga na tua boca,murphsyc xenofobia gente vou mandar amigo carioca enfiar droga boca,murphsyc xenofobia gente vou mandar amigo carioca enfiar droga boca,murphsyc a xenofobia gente vou mandar meu amigo carioca enfiar droga na tua boca,murphsyc xenofobia gente vou mandar amigo carioca enfiar droga boca
17/05/3921 23:44,"1,39E+18",eu sofro xenofobia por ser  do sul,2,Nao Classificado,zsenshi_sama ainn eu sofro xenofobia por ser  do sul,zsenshisama amin eu sofro xenofobia por ser do sul,zsenshi_sama ainn sofro xenofobia sul,zsenshisama amin sofro xenofobia sul,zsenshisama amin eu sofro xenofobia por ser do sul,zsenshisama amin sofro xenofobia sul
17/05/3921 23:43,"1,39E+18",Além de sionista abraçou a xenofobia para si?,0,Negativo,jeanwyllys_real alem de sionista abracou a xenofobia para si?,jeanwyllysreal além de sionista abraçou a xenofobia para si,jeanwyllys_real alem sionista abracou xenofobia si?,jeanwyllysreal sionista abraçou xenofobia si,jeanwyllysreal alem de sionista abracou a xenofobia para si,jeanwyllysreal alem sionista abracou xenofobia si
17/05/3921 23:42,"1,39E+18","Onde q ela foi xenofobia, eoein",0,Negativo,"taylorftolivia aaavev onde q ela foi xenofobia, eoein",taylorftolivia aaavev onde que ela foi xenofobia boeing,"taylorftolivia aaavev q xenofobia, eoein",taylorftolivia aaavev xenofobia boeing,taylorftolivia aaavev onde que ela foi xenofobia boeing,taylorftolivia aaavev xenofobia boeing
17/05/3921 23:42,"1,39E+18","é sempre a mesma coisa, né? a pessoa digita xenofobia e fala merda sobre algo que não sabe, quando alguém cai em cima acha ruim e vai chamar de insuportável kkkkkkkkk menos ",0,Negativo,"e sempre a mesma coisa, ne? a pessoa digita xenofobia e fala merda sobre algo que nao sabe, quando alguem cai em cima acha ruim e vai chamar de insuportavel kkkkkkkkk menos ",é sempre a mesma coisa não é a pessoa digita xenofobia e fala merda sobre algo que não sabe quando alguém cai em cima acha ruim e vai chamar de insuportável kkk menos httpstcoujuvtcq5hp,"mesma coisa, ne? pessoa digita xenofobia fala merda nao sabe, alguem cai acha ruim chamar insuportavel kkkkkkkkk",mesma pessoa digita xenofobia fala merda alguém cai acha ruim chamar insuportável kkk httpstcoujuvtcq5hp,e sempre a mesma coisa nao e a pessoa digita xenofobia e fala merda sobre algo que nao sabe quando alguem cai em cima acha ruim e vai chamar de insuportavel kkk menos,mesma nao pessoa digita xenofobia fala merda nao alguem cai acha ruim chamar insuportavel kkk
17/05/3921 23:40,"1,39E+18",sim é insuportavel ter que ficar toda hora vendo a olivia sofrer xenofobia por gente idiota igual vc,2,Nao Classificado,aaavev sim e insuportavel ter que ficar toda hora vendo a olivia sofrer xenofobia por gente idiota igual vc,aaavev sim é insuportável ter que ficar toda hora vendo a olivia sofrer xenofobia por gente idiota igual você,aaavev insuportavel ficar hora vendo olivia sofrer xenofobia gente idiota igual vc,aaavev insuportável ficar hora vendo olivia sofrer xenofobia gente idiota igual,aaavev sim e insuportavel ter que ficar toda hora vendo a olivia sofrer xenofobia por gente idiota igual voce,aaavev insuportavel ficar hora vendo olivia sofrer xenofobia gente idiota igual voce
17/05/3921 23:39,"1,39E+18","Agora xenofobia é metáfora... Jean, menos. Isso é papo de bolsonarista. Imaginemos uma pessoa vir esbravejar preconceitos contra sua orientação sexual e depois falar que é tudo metáfora. Tenha coerência nas suas atitudes.",2,Nao Classificado,"jeanwyllys_real ticostacruz cirogomes agora xenofobia e metafora jean, menos isso e papo de bolsonarista imaginemos uma pessoa vir esbravejar preconceitos contra sua orientacao sexual e depois falar que e tudo metafora tenha coerencia nas suas atitudes",jeanwyllysreal ticostacruz cirogomes agora xenofobia é metáfora jean menos isso é papo de rastreava imaginemos uma pessoa vir esbravejar preconceitos contra sua orientação sexual e depois falar que é tudo metáfora tenha coerência nas suas atitudes,"jeanwyllys_real ticostacruz cirogomes xenofobia metafora jean, papo bolsonarista imaginemos pessoa vir esbravejar preconceitos orientacao sexual falar metafora coerencia atitudes",jeanwyllysreal ticostacruz cirogomes xenofobia metáfora jean papo rastreava imaginemos pessoa vir esbravejar preconceitos orientação sexual falar metáfora coerência atitudes,jeanwyllysreal ticostacruz cirogomes agora xenofobia e metafora jean menos isso e papo de rastreava imaginemos uma pessoa vir esbravejar preconceitos contra sua orientacao sexual e depois falar que e tudo metafora tenha coerencia nas suas atitudes,jeanwyllysreal ticostacruz cirogomes xenofobia metafora jean papo rastreava imaginemos pessoa vir esbravejar preconceitos orientacao sexual falar metafora coerencia atitudes
17/05/3921 23:38,"1,39E+18","Jean wyllys Xenofobia  e irmão gêmea de homofobia... ambas atitudes deploráveis
mas como vc gosta de chamar atenção 
fica ai inventando coisa 
",2,Nao Classificado,"jeanwyllys_real xenofobia  e irmao gemea de homofobia ambas atitudes deploraveis

mas como vc gosta de chamar atencao 
fica ai inventando coisa 

#ciro2022",jeanwyllysreal xenofobia e irmão gêmea de homofobia ambas atitudes deploráveis mas como você gosta de chamar atenção fica ai inventando coisa ciro2022,jeanwyllys_real xenofobia irmao gemea homofobia atitudes deploraveis vc gosta chamar atencao fica ai inventando #ciro2022,jeanwyllysreal xenofobia irmão gêmea homofobia atitudes deploráveis gosta chamar atenção fica ai inventando ciro2022,jeanwyllysreal xenofobia e irmao gemea de homofobia ambas atitudes deploraveis mas como voce gosta de chamar atencao fica ai inventando coisa ciro2022,jeanwyllysreal xenofobia irmao gemea homofobia atitudes deploraveis voce gosta chamar atencao fica ai inventando ciro2022
17/05/3921 23:36,"1,39E+18",Ciro faz crítica política e você responde com xenofobia? E tudo pra defender cachorro de banqueiro e empresário? Que vexame,2,Nao Classificado,jeanwyllys_real ciro faz critica politica e voce responde com xenofobia? e tudo pra defender cachorro de banqueiro e empresario? que vexame,jeanwyllysreal ciro faz crítica política e você responde com xenofobia e tudo pra defender cachorro de banqueiro e empresário que vexame,jeanwyllys_real ciro critica politica voce responde xenofobia? pra defender cachorro banqueiro empresario? vexame,jeanwyllysreal ciro crítica política responde xenofobia pra defender cachorro banqueiro empresário vexame,jeanwyllysreal ciro faz critica politica e voce responde com xenofobia e tudo pra defender cachorro de banqueiro e empresario que vexame,jeanwyllysreal ciro critica politica voce responde xenofobia pra defender cachorro banqueiro empresario vexame
17/05/3921 23:36,"1,39E+18",motivos do pq o governo não está aceitando vacinas vindas da china: xenofobia por parte do presidente,1,Positivo,motivos do pq o governo nao esta aceitando vacinas vindas da china xenofobia por parte do presidente,motivos do porque o governo não está aceitando vacinas vindas da china xenofobia por parte do presidente,motivos pq governo nao aceitando vacinas vindas china xenofobia presidente,motivos governo aceitando vacinas vindas china xenofobia presidente,motivos do porque o governo nao esta aceitando vacinas vindas da china xenofobia por parte do presidente,motivos governo nao aceitando vacinas vindas china xenofobia presidente
17/05/3921 23:34,"1,39E+18",odiar o brasil deixou de ser xenofobia pra se tornar dever moral,0,Negativo,odiar o brasil deixou de ser xenofobia pra se tornar dever moral,odiar o brasil deixou de ser xenofobia pra se tornar dever moral,odiar brasil deixou xenofobia pra tornar dever moral,odiar brasil deixou xenofobia pra tornar dever moral,odiar o brasil deixou de ser xenofobia pra se tornar dever moral,odiar brasil deixou xenofobia pra tornar dever moral
17/05/3921 23:32,"1,39E+18","Vejo pessoas se valendo da xenofobia para chamar o Ciro Gomes de Coronel!
Com que frequência?
Sempre que ele fala a verdade!
E o motivo é sempre o mesmo...
Ocultar os danos causados pelo Genocida e pelo Corruptor! ",2,Nao Classificado,"vejo pessoas se valendo da xenofobia para chamar o ciro gomes de coronel!

com que frequencia?

sempre que ele fala a verdade!

e o motivo e sempre o mesmo

ocultar os danos causados pelo genocida e pelo corruptor! ",vejo pessoas se valendo da xenofobia para chamar o ciro gomes de coronel com que frequência sempre que ele fala a verdade e o motivo é sempre o mesmo ocultar os danos causados pelo genocida e pelo corruptor httpstcoggfccp3egk,vejo pessoas valendo xenofobia chamar ciro gomes coronel! frequencia? fala verdade! motivo ocultar danos causados genocida corruptor!,vejo pessoas valendo xenofobia chamar ciro gomes coronel frequência fala verdade motivo ocultar danos causados genocida corruptor httpstcoggfccp3egk,vejo pessoas se valendo da xenofobia para chamar o ciro gomes de coronel com que frequencia sempre que ele fala a verdade e o motivo e sempre o mesmo ocultar os danos causados pelo genocida e pelo corruptor,vejo pessoas valendo xenofobia chamar ciro gomes coronel frequencia fala verdade motivo ocultar danos causados genocida corruptor
17/05/3921 23:30,"1,39E+18","Gil cometeu xenofobia onde amiga? Gil é nordestino kkkkkkk, não tem embasamento.",0,Negativo,"nathycacto17 gil cometeu xenofobia onde amiga? gil e nordestino kkkkkkk, nao tem embasamento",nathycacto17 gil cometeu xenofobia onde amiga gil é nordestino kkk não tem embasamento,"nathycacto17 gil cometeu xenofobia amiga? gil nordestino kkkkkkk, nao embasamento",nathycacto17 gil cometeu xenofobia amiga gil nordestino kkk embasamento,nathycacto17 gil cometeu xenofobia onde amiga gil e nordestino kkk nao tem embasamento,nathycacto17 gil cometeu xenofobia amiga gil nordestino kkk nao embasamento
17/05/3921 23:27,"1,39E+18","o gênio, o doutor, o fodão que dá aulas no estrangeiro, 
dando piti com o Tico e não consegue explicar o termo Coronel. A xenofobia é evidente. Só falta ter a cara de pau de voltar para o Brasil para concorrer em 2022. Esse aí sim é o verdadeiro fujão.",2,Nao Classificado,"jeanwyllys_real ticostacruz cirogomes o genio, o doutor, o fodao que da aulas no estrangeiro, dando piti com o tico e nao consegue explicar o termo coronel a xenofobia e evidente so falta ter a cara de pau de voltar para o brasil para concorrer em 2022 esse ai sim e o verdadeiro fujao",jeanwyllysreal ticostacruz cirogomes o gênio o doutor o machão que dá aulas no estrangeiro dando chilique com o tico e não consegue explicar o termo coronel a xenofobia é evidente só falta ter a cara de pau de voltar para o brasil para concorrer em 2022 esse aí sim é o verdadeiro fujão,"jeanwyllys_real ticostacruz cirogomes genio, doutor, fodao aulas estrangeiro, dando piti tico nao consegue explicar termo coronel xenofobia evidente so cara pau voltar brasil concorrer 2022 ai verdadeiro fujao",jeanwyllysreal ticostacruz cirogomes gênio doutor machão aulas estrangeiro dando chilique tico consegue explicar termo coronel xenofobia evidente cara pau voltar brasil concorrer 2022 verdadeiro fujão,jeanwyllysreal ticostacruz cirogomes o genio o doutor o machao que da aulas no estrangeiro dando chilique com o tico e nao consegue explicar o termo coronel a xenofobia e evidente so falta ter a cara de pau de voltar para o brasil para concorrer em 2022 esse ai sim e o verdadeiro fujao,jeanwyllysreal ticostacruz cirogomes genio doutor machao aulas estrangeiro dando chilique tico nao consegue explicar termo coronel xenofobia evidente so cara pau voltar brasil concorrer 2022 ai verdadeiro fujao
17/05/3921 23:25,"1,39E+18",Jean wyllys Será Xenofobia isso?.....esse é seu melhor argumento?,0,Negativo,jeanwyllys_real sera xenofobia isso?esse e seu melhor argumento?,jeanwyllysreal será xenofobia isso és se é seu melhor argumento,jeanwyllys_real sera xenofobia isso?esse melhor argumento?,jeanwyllysreal xenofobia melhor argumento,jeanwyllysreal sera xenofobia isso es se e seu melhor argumento,jeanwyllysreal sera xenofobia es melhor argumento
17/05/3921 23:25,"1,39E+18","Tico, “xenofobia”? Não fode, cara! Por favor, seja honesto nos argumentos. Melhor você assumir",2,Nao Classificado,"rt jeanwyllys_real ticostacruz cirogomes tico, xenofobia? nao fode, cara! por favor, seja honesto nos argumentos melhor voce assumir",retweeet jeanwyllysreal ticostacruz cirogomes tico “ ex fobia ” não fode cara por favor seja honesto nos argumentos melhor você assumir,"rt jeanwyllys_real ticostacruz cirogomes tico, xenofobia? nao fode, cara! favor, honesto argumentos melhor voce assumir",retweeet jeanwyllysreal ticostacruz cirogomes tico “ ex fobia ” fode cara honesto argumentos melhor assumir,retweeet jeanwyllysreal ticostacruz cirogomes tico  ex fobia  nao fode cara por favor seja honesto nos argumentos melhor voce assumir,retweeet jeanwyllysreal ticostacruz cirogomes tico ex fobia nao fode cara honesto argumentos melhor voce assumir
17/05/3921 23:23,"1,39E+18","Mas AMG, o Toulouse tbm é viralata ksskksks, talvez seja só xenofobia ou ele não gosta de altos magrelos e esquisitos",2,Nao Classificado,"ieduferreira mas amg, o toulouse tbm e viralata ksskksks, talvez seja so xenofobia ou ele nao gosta de altos magrelos e esquisitos",ieduferreira mas amigo o toulouse também é felina ksskksks talvez seja só xenofobia ou ele não gosta de altos magrelos e esquisitos,"ieduferreira amg, toulouse tbm viralata ksskksks, so xenofobia nao gosta altos magrelos esquisitos",ieduferreira amigo toulouse felina ksskksks xenofobia gosta altos magrelos esquisitos,ieduferreira mas amigo o toulouse tambem e felina ksskksks talvez seja so xenofobia ou ele nao gosta de altos magrelos e esquisitos,ieduferreira amigo toulouse tambem felina ksskksks so xenofobia nao gosta altos magrelos esquisitos
17/05/3921 23:23,"1,39E+18",Tirou minha homofobia me deixando apenas com xenofobia,1,Positivo,rt umbairrista tirou minha homofobia me deixando apenas com xenofobia,retweeet umbairrista tirou minha homofobia me deixando apenas com xenofobia,rt umbairrista tirou homofobia deixando xenofobia,retweeet umbairrista tirou homofobia deixando xenofobia,retweeet umbairrista tirou minha homofobia me deixando apenas com xenofobia,retweeet umbairrista tirou homofobia deixando xenofobia
17/05/3921 23:22,"1,39E+18",Xenofobia do bem ,1,Positivo,xenofobia do bem,xenofobia do bem 😍 🥰 😍 httpstcote8muwswnp,xenofobia,xenofobia 😍 🥰 😍 httpstcote8muwswnp,xenofobia do bem,xenofobia
